src,dst
0,1
1,2
1,7
2,3
2,4
3,13
3,22
4,5
4,10
5,6
5,12
6,14
6,15
7,8
7,9
8,11
8,23
9,24
9,25
10,16
10,19
11,43
11,20
12,76
12,83
13,62
13,26
14,53
14,86
15,17
15,18
16,104
16,105
17,44
17,45
18,124
18,125
19,21
19,42
20,39
20,40
21,30
21,31
22,28
22,29
23,46
23,59
24,134
24,135
25,35
25,36
26,27
26,34
28,172
28,173
29,41
29,101
30,176
30,177
31,32
31,33
32,37
32,38
33,67
33,68
34,194
34,195
36,60
36,61
37,97
37,98
38,47
38,48
39,102
39,103
40,170
40,171
41,49
41,50
42,108
42,131
43,99
43,100
44,56
44,57
45,54
45,55
46,180
46,181
48,51
48,52
49,63
49,69
51,111
51,116
52,87
52,115
53,64
53,65
54,114
54,153
55,58
55,119
56,70
56,71
57,198
57,199
58,186
58,187
59,90
59,126
60,95
60,96
61,81
61,82
62,154
62,155
63,66
63,161
64,72
64,73
66,138
66,139
69,192
69,193
71,112
71,113
72,79
72,80
73,74
73,75
74,77
74,78
83,84
83,85
84,88
84,89
85,188
85,189
86,93
86,94
87,91
87,92
89,117
89,118
90,159
90,160
92,106
92,107
93,166
93,167
94,150
94,151
96,141
96,142
101,182
101,183
102,190
102,191
104,109
104,110
107,120
107,121
108,122
108,123
112,152
112,156
116,129
116,130
120,164
120,165
121,184
121,185
123,148
123,149
124,127
124,128
126,143
126,144
130,132
130,133
131,146
131,147
134,157
134,158
135,136
135,137
137,178
137,179
138,174
138,175
139,140
139,145
140,196
140,197
150,162
150,163
153,168
153,169
