src,dst
0,1
1,2
1,4
2,3
2,5
3,12
3,22
4,7
4,6
5,15
5,19
6,8
6,9
7,10
7,11
8,27
8,32
9,13
9,14
10,17
10,23
11,30
11,121
12,20
12,21
13,45
13,46
14,16
14,130
15,18
15,111
16,26
16,173
17,25
17,206
18,94
18,95
19,70
19,77
20,47
20,48
21,55
21,34
22,24
22,264
23,163
23,164
24,31
24,78
25,342
25,343
26,28
26,29
27,39
27,40
28,33
28,35
29,36
29,150
30,88
30,263
33,63
33,64
34,109
34,53
35,37
35,38
36,41
36,42
37,66
37,71
38,59
38,60
39,176
39,177
41,50
41,67
42,43
42,44
43,49
43,79
44,54
44,72
45,180
45,337
46,51
46,52
47,107
47,108
48,57
48,58
49,105
49,106
50,96
50,97
51,211
51,212
52,89
52,56
53,65
53,104
55,127
55,128
56,61
56,62
57,73
57,74
58,125
58,126
59,76
59,229
60,90
60,103
61,102
61,143
62,238
62,239
63,68
63,69
64,82
64,83
65,153
65,154
66,92
66,93
67,86
67,87
69,84
69,85
70,75
70,119
71,307
71,308
72,91
72,155
73,98
73,101
74,451
74,452
75,135
75,136
76,80
76,81
77,131
77,158
78,305
78,306
79,369
79,370
80,159
80,160
81,129
81,240
82,99
82,100
83,113
83,114
84,182
84,183
86,258
86,142
87,151
87,152
88,132
88,133
89,115
89,116
90,299
90,300
91,120
91,204
92,178
92,179
93,480
93,481
94,137
94,138
97,110
97,124
98,202
98,203
99,242
99,243
100,112
100,134
101,144
101,261
102,117
102,118
103,122
103,123
104,282
104,283
105,439
105,440
106,213
106,214
108,147
108,148
109,241
109,298
110,294
110,295
114,433
114,434
116,373
116,374
118,335
118,336
119,301
119,302
120,188
120,189
122,156
122,157
124,383
124,384
126,233
126,234
127,145
127,146
128,174
128,175
129,140
129,141
130,466
130,467
131,149
131,194
133,377
133,378
134,333
134,334
135,171
135,172
136,223
136,224
137,139
137,181
139,269
139,270
140,184
140,185
141,169
141,170
143,322
143,323
145,167
145,168
146,161
146,162
147,192
147,193
148,252
148,253
149,265
149,266
151,445
151,446
152,409
152,410
153,399
153,400
154,165
154,166
155,279
155,280
159,197
159,198
160,236
160,237
162,407
162,408
165,195
165,201
166,324
166,325
167,190
167,191
169,196
169,360
170,227
170,232
171,215
171,216
172,244
172,245
178,277
178,278
180,344
180,345
182,254
182,255
183,205
183,319
184,414
184,459
185,186
185,187
187,209
187,210
191,246
191,247
192,338
192,339
193,381
193,382
194,225
194,226
195,314
195,315
196,419
196,420
197,199
197,200
198,318
198,332
199,235
199,281
202,328
202,329
203,290
203,291
204,207
204,208
205,273
205,274
206,248
206,249
208,375
208,376
209,221
209,222
210,217
210,218
211,340
211,341
213,219
213,220
217,379
217,380
218,309
218,413
221,326
221,327
222,296
222,297
223,405
223,406
224,388
224,389
225,230
225,231
226,228
226,262
227,387
227,398
232,259
232,260
233,330
233,331
234,271
234,272
235,250
235,251
236,354
236,355
239,492
239,493
240,286
240,287
244,371
244,372
246,256
246,257
247,394
247,395
250,292
250,293
251,267
251,268
252,468
252,469
254,365
254,366
255,460
255,461
256,421
256,422
257,411
257,412
261,284
261,285
262,312
262,313
264,490
264,491
265,275
265,276
266,385
266,386
267,401
267,402
268,425
268,426
272,350
272,351
276,431
276,432
281,310
281,311
283,303
283,304
284,288
284,289
289,470
289,471
290,441
290,442
292,403
292,404
296,358
296,359
297,316
297,317
300,396
300,397
301,361
301,362
302,443
302,444
304,486
304,487
307,476
307,477
308,478
308,479
309,392
309,393
313,363
313,364
317,320
317,321
318,390
318,391
319,346
319,347
321,348
321,349
327,423
327,424
330,417
330,418
334,462
334,463
335,352
335,353
339,356
339,357
342,415
342,416
350,437
350,438
362,447
362,448
363,367
363,368
369,482
369,483
378,498
378,499
380,494
380,495
382,429
382,430
389,455
389,456
403,484
403,485
409,435
409,436
412,464
412,465
418,427
418,428
419,453
419,454
423,496
423,497
425,457
425,458
437,474
437,475
448,449
448,450
470,472
470,473
478,488
478,489
