src,dst
0,1
1,2
1,3
2,5
2,6
3,4
3,43
4,14
4,15
5,7
5,8
6,10
6,11
7,9
7,18
8,58
8,54
9,80
9,50
10,67
10,151
11,12
11,13
12,16
12,17
13,35
13,36
14,24
14,25
15,31
15,53
16,22
16,42
17,19
17,23
18,38
18,39
19,20
19,21
20,94
20,95
21,172
21,173
22,28
22,32
23,26
23,27
24,40
24,41
26,29
26,30
27,33
27,34
28,46
28,47
29,37
29,82
30,62
30,81
31,59
31,60
32,109
32,110
34,44
34,45
35,56
35,57
36,100
36,101
38,78
38,79
39,186
39,187
40,76
40,77
41,51
41,52
42,48
42,49
44,144
44,145
46,136
46,137
47,196
47,197
50,127
50,128
51,55
51,61
52,70
52,71
54,63
54,64
55,93
55,106
57,68
57,69
58,83
58,150
59,134
59,135
60,111
60,112
61,86
61,87
62,119
62,120
63,84
63,85
64,65
64,66
66,74
66,75
67,72
67,73
68,88
68,133
69,138
69,139
71,89
71,90
72,113
72,114
73,98
73,99
75,129
75,130
76,104
76,105
79,96
79,97
81,91
81,92
84,115
84,116
87,107
87,108
90,131
90,132
91,125
91,126
92,146
92,147
95,102
95,103
96,198
96,199
97,152
97,153
99,148
99,149
100,117
100,118
103,142
103,143
110,154
110,155
116,162
116,163
117,121
117,122
118,123
118,124
120,176
120,177
123,140
123,141
125,178
125,179
126,174
126,175
131,190
131,191
135,182
135,183
137,166
137,167
139,160
139,161
143,156
143,157
149,164
149,165
153,158
153,159
156,180
156,181
157,192
157,193
158,188
158,189
159,170
159,171
161,168
161,169
166,184
166,185
179,194
179,195
