src,dst
0,1
1,3
1,2
2,18
2,24
3,4
3,5
4,6
4,34
5,7
5,23
6,14
6,15
7,8
7,30
8,9
8,10
9,11
9,13
10,21
10,22
11,12
11,20
12,35
12,36
13,27
13,111
14,16
14,17
17,19
17,54
18,42
18,28
20,49
20,142
21,92
21,115
22,32
22,33
23,25
23,26
24,31
24,44
26,59
26,60
27,130
27,131
28,29
28,39
29,37
29,114
30,119
30,120
31,38
31,55
34,45
34,46
35,116
35,117
36,40
36,41
37,61
37,62
38,69
38,76
40,50
40,51
41,47
41,48
42,43
42,79
44,104
44,105
45,52
45,53
46,168
46,169
48,63
48,64
49,156
49,157
51,102
51,103
52,56
52,123
53,67
53,68
54,72
54,73
55,190
55,191
56,57
56,58
57,81
57,82
58,97
58,98
60,100
60,101
61,80
61,108
64,65
64,66
65,86
65,87
66,88
66,89
67,74
67,75
68,70
68,71
69,127
69,128
70,96
70,129
71,90
71,91
74,77
74,78
75,166
75,167
76,84
76,85
77,106
77,107
80,140
80,141
81,83
81,118
83,136
83,137
85,164
85,165
87,180
87,181
89,93
89,143
92,94
92,95
94,174
94,175
95,188
95,189
96,198
96,199
98,99
98,126
99,109
99,110
103,112
103,113
104,134
104,135
106,160
106,161
108,124
108,125
109,121
109,122
110,158
110,159
117,132
117,133
121,154
121,155
123,186
123,187
125,170
125,171
126,138
126,139
132,144
132,145
135,148
135,149
136,146
136,147
137,196
137,197
138,150
138,151
139,152
139,153
145,176
145,177
152,172
152,173
157,162
157,163
161,178
161,179
174,184
174,185
175,182
175,183
179,194
179,195
181,192
181,193
