src,dst
0,1
1,2
1,7
2,3
2,4
3,13
3,25
4,5
4,10
5,6
5,12
6,14
6,15
7,8
7,9
8,11
8,20
9,21
9,22
10,18
10,74
11,34
11,19
12,55
12,59
13,48
13,23
14,61
14,50
15,16
15,17
16,35
16,36
17,85
17,255
18,33
18,26
19,30
19,31
20,37
20,45
21,91
21,92
22,28
22,157
23,24
23,27
24,184
24,195
25,32
25,72
26,29
26,69
27,125
27,138
28,46
28,47
29,38
29,39
30,73
30,124
31,115
31,116
32,40
32,49
33,102
33,101
34,70
34,71
35,44
35,128
36,43
36,123
37,118
37,119
38,279
38,280
39,41
39,42
40,146
40,147
41,78
41,82
42,62
42,81
43,80
43,104
44,52
44,53
45,86
45,108
46,68
46,97
47,58
47,300
48,105
48,208
49,51
49,109
50,267
50,54
51,95
51,213
53,79
53,183
54,56
54,57
55,253
55,254
56,308
56,414
58,180
58,181
59,60
59,141
60,63
60,83
61,66
61,67
62,64
62,65
63,197
63,315
64,150
64,190
65,75
65,218
66,112
66,113
67,103
67,110
68,460
68,461
69,209
69,210
71,223
71,224
72,120
72,121
73,151
73,152
74,76
74,77
75,84
75,122
76,187
76,188
77,196
77,159
78,189
78,303
81,132
81,229
82,87
82,88
84,111
84,163
85,164
85,165
86,98
86,99
87,342
87,343
88,89
88,90
89,170
89,171
90,176
90,177
91,106
91,107
92,93
92,94
93,290
93,291
94,117
94,131
95,96
95,100
96,126
96,127
97,182
97,305
98,270
98,271
100,200
100,201
101,133
101,134
104,114
104,217
106,249
106,250
107,166
107,167
108,211
108,212
109,155
109,226
111,153
111,154
112,221
112,222
113,298
113,339
115,139
115,140
116,129
116,130
117,144
117,145
118,383
118,384
122,136
122,137
124,272
124,273
125,233
125,234
126,256
126,257
127,496
127,497
128,156
128,160
129,158
129,207
130,135
130,161
131,324
131,325
133,148
133,149
135,142
135,143
136,162
136,274
137,202
137,203
138,168
138,169
140,185
140,186
141,410
141,411
142,246
142,247
143,227
143,228
145,301
145,302
146,335
146,336
147,361
147,362
149,172
149,173
150,381
150,382
151,330
151,331
152,231
152,232
154,205
154,206
156,415
156,416
157,397
157,398
162,193
162,194
163,309
163,310
164,191
164,192
165,482
165,483
166,198
166,199
167,178
167,179
168,278
168,365
169,174
169,175
172,424
172,425
176,216
176,225
177,442
177,443
178,239
178,409
180,242
180,275
181,204
181,248
182,230
182,334
185,287
185,358
189,344
189,345
190,430
190,431
191,322
191,323
194,391
194,392
195,235
195,236
196,276
196,277
199,405
199,406
200,468
200,469
202,347
202,348
203,446
203,447
205,265
205,266
208,214
208,215
209,296
209,297
210,268
210,269
211,476
211,477
212,434
212,435
214,375
214,376
217,219
217,220
219,258
219,259
221,260
221,261
222,426
222,427
225,371
225,372
226,263
226,264
227,237
227,238
228,243
228,304
232,244
232,245
233,368
233,417
234,251
234,252
236,422
236,423
237,462
237,463
238,240
238,241
240,262
240,346
244,332
244,333
245,316
245,317
247,470
247,471
248,283
248,284
249,306
249,307
251,356
251,357
255,294
255,295
258,285
258,286
259,353
259,399
261,281
261,282
265,299
265,402
267,369
267,370
271,292
271,293
272,288
272,289
274,389
274,390
275,490
275,491
281,337
281,338
282,318
282,319
283,373
283,374
284,395
284,396
285,366
285,367
287,349
287,350
289,320
289,321
291,354
291,355
293,492
293,493
294,403
294,404
296,313
296,314
297,428
297,429
299,420
299,421
300,311
300,312
302,326
302,327
307,328
307,329
319,340
319,341
325,452
325,453
326,486
326,487
328,458
328,459
332,351
332,352
333,379
333,380
338,359
338,360
348,407
348,408
351,377
351,378
352,363
352,364
353,464
353,465
354,412
354,413
357,385
357,386
361,444
361,445
367,393
367,394
369,436
369,437
371,480
371,481
373,387
373,388
374,400
374,401
375,448
375,449
382,498
382,499
398,474
398,475
402,418
402,419
403,440
403,441
412,432
412,433
413,454
413,455
416,488
416,489
424,450
424,451
431,438
431,439
439,456
439,457
441,478
441,479
442,466
442,467
455,484
455,485
470,472
470,473
478,494
478,495
