src,dst
0,1
1,2
1,3
2,9
2,10
3,4
3,5
4,6
4,36
5,7
5,8
6,15
6,109
7,24
7,25
8,16
8,18
9,11
9,46
10,28
10,35
11,12
11,13
12,26
12,27
13,14
13,19
14,29
14,30
15,20
15,21
16,17
16,39
17,80
17,81
19,33
19,34
20,22
20,23
21,49
21,50
22,58
22,84
23,40
23,41
24,51
24,62
25,178
25,179
26,52
26,53
27,31
27,32
28,42
28,43
29,86
29,87
30,186
30,187
31,47
31,48
32,127
32,128
33,37
33,38
34,83
34,59
36,115
36,116
38,54
38,55
39,99
39,100
40,63
40,66
41,74
41,89
43,44
43,45
44,155
44,156
45,79
45,88
48,149
48,150
49,64
49,65
52,133
52,134
53,67
53,96
54,56
54,57
55,60
55,61
56,82
56,119
58,85
58,148
59,68
59,69
60,75
60,110
61,70
61,71
63,76
63,77
65,129
65,130
66,106
66,141
67,97
67,107
68,104
68,161
70,72
70,73
71,123
71,124
72,159
72,160
74,78
74,98
77,168
77,169
78,190
78,191
79,101
79,102
80,113
80,114
82,92
82,93
83,94
83,95
85,139
85,140
86,90
86,91
87,182
87,183
89,103
89,108
90,172
90,173
91,170
91,171
93,194
93,195
94,137
94,138
95,131
95,132
96,180
96,181
99,105
99,122
101,117
101,118
103,142
103,143
105,162
105,163
108,120
108,121
110,111
110,112
112,176
112,177
116,125
116,126
121,164
121,165
122,146
122,147
125,135
125,136
126,153
126,154
130,144
130,145
131,151
131,152
140,157
140,158
142,166
142,167
166,198
166,199
167,174
167,175
173,184
173,185
174,196
174,197
175,188
175,189
182,192
182,193
