src,dst
0,1
1,2
1,3
2,5
2,6
3,4
3,257
4,14
4,23
5,7
5,8
6,10
6,11
7,9
7,17
8,49
8,45
9,66
9,88
10,56
10,103
11,12
11,13
12,15
12,16
13,33
13,76
14,29
14,44
15,21
15,37
16,18
16,22
17,35
17,128
18,19
18,20
19,75
19,77
20,118
20,400
21,26
21,30
22,24
22,25
23,36
23,63
24,27
24,28
25,31
25,32
26,39
26,95
27,34
27,68
28,51
28,67
29,50
29,326
30,225
30,105
31,291
31,292
32,38
32,100
33,47
33,48
34,297
34,298
35,64
35,65
36,42
36,43
37,40
37,41
38,140
38,221
39,133
39,159
41,158
41,189
42,46
42,79
43,58
43,59
45,52
45,53
46,74
46,78
47,150
47,151
48,57
48,92
49,69
49,102
50,93
50,94
51,176
51,120
52,70
52,142
53,54
53,55
54,549
54,550
55,61
55,62
56,60
56,111
57,96
57,109
59,71
59,72
60,80
60,81
62,89
62,250
64,473
64,474
65,177
65,104
66,167
66,426
67,73
67,101
68,394
68,395
69,226
69,227
70,82
70,83
72,90
72,91
73,121
73,119
75,452
75,407
76,84
76,85
77,98
77,99
79,321
79,322
80,202
80,206
81,218
81,385
83,110
83,270
84,86
84,144
85,87
85,97
87,515
87,516
88,162
88,163
89,171
89,172
90,129
90,271
92,340
92,341
93,209
93,210
94,124
94,125
95,112
95,113
96,216
96,217
98,590
98,591
99,106
99,107
100,139
100,170
101,357
101,358
102,168
102,169
104,108
104,374
105,277
105,278
106,122
106,123
107,130
107,131
108,116
108,117
109,114
109,115
110,418
110,419
111,147
111,148
112,126
112,127
114,185
114,186
115,152
115,153
116,182
116,198
117,141
117,181
118,143
118,173
119,149
119,178
120,244
120,245
121,132
121,207
122,154
122,155
123,156
123,157
125,293
125,393
126,192
126,193
127,134
127,135
128,214
128,215
129,160
129,161
130,188
130,203
131,136
131,137
132,375
132,376
133,190
133,191
134,138
134,313
135,179
135,180
137,200
137,201
139,237
139,238
140,183
140,184
141,274
141,327
142,228
142,229
143,204
143,205
144,145
144,146
147,301
147,302
149,166
149,208
151,234
151,235
152,347
152,348
154,541
154,542
155,323
155,324
156,420
156,421
159,199
159,222
160,213
160,388
161,364
161,365
163,164
163,165
166,232
166,233
167,174
167,175
169,264
169,265
171,318
171,319
172,196
172,197
173,268
173,269
174,373
174,441
175,248
175,249
177,309
177,310
178,211
178,212
181,262
181,263
182,194
182,195
183,187
183,243
184,469
184,470
185,568
185,569
186,303
186,304
187,314
187,315
188,219
188,220
189,288
189,289
190,446
190,447
191,266
191,267
192,344
192,551
193,241
193,242
195,572
195,573
197,330
197,331
200,316
200,317
201,223
201,224
203,230
203,231
204,259
204,483
207,252
207,253
212,282
212,283
216,260
216,261
217,338
217,339
218,239
218,240
220,272
220,363
222,305
222,306
223,255
223,256
226,294
226,295
227,236
227,254
230,280
230,281
231,251
231,258
232,484
232,485
233,535
233,536
234,582
234,583
236,584
236,585
237,275
237,276
239,444
239,445
241,401
241,402
243,434
243,435
244,246
244,247
245,537
245,538
249,488
249,489
250,521
250,522
251,355
251,356
253,543
253,544
257,273
257,279
258,533
258,534
259,325
259,413
262,412
262,509
263,465
263,466
264,389
264,390
265,353
265,354
268,290
268,296
269,477
269,478
270,332
270,333
272,500
272,501
273,351
273,352
274,366
274,367
276,429
276,430
280,286
280,287
282,284
282,285
283,299
283,300
287,311
287,312
290,345
290,346
292,450
292,451
294,362
294,370
296,307
296,308
298,467
298,468
302,492
302,493
303,517
303,518
304,328
304,329
305,368
305,369
308,403
308,404
309,334
309,335
310,342
310,343
311,381
311,382
314,336
314,337
315,410
315,411
317,523
317,524
318,320
318,359
319,414
319,415
325,386
325,387
326,424
326,425
327,371
327,372
329,383
329,384
331,379
331,380
333,461
333,462
334,360
334,361
335,527
335,528
336,442
336,443
337,408
337,409
340,349
340,350
341,422
341,423
342,405
342,406
346,431
346,506
348,427
348,428
350,377
350,378
352,391
352,392
355,529
355,530
356,510
356,511
359,479
359,480
360,463
360,464
369,396
369,397
370,504
370,505
371,586
371,587
372,437
372,438
375,594
375,595
377,512
377,513
381,398
381,399
382,416
382,417
383,552
383,553
389,436
389,514
393,455
393,456
405,588
405,589
406,576
406,577
408,448
408,449
420,432
420,433
422,475
422,476
426,496
426,497
428,459
428,460
429,453
429,454
430,596
430,597
431,490
431,491
434,486
434,487
435,439
435,440
436,507
436,508
438,494
438,495
441,566
441,567
442,570
442,571
443,481
443,482
446,457
446,458
451,592
451,593
458,598
458,599
465,545
465,546
466,471
466,472
476,519
476,520
482,578
482,579
484,560
484,561
492,556
492,557
493,502
493,503
495,498
495,499
498,531
498,532
505,558
505,559
508,539
508,540
510,574
510,575
523,525
523,526
524,564
524,565
526,547
526,548
532,554
532,555
534,562
534,563
558,580
558,581
