src,dst
0,1
1,3
1,2
2,18
2,23
3,4
3,5
4,6
4,30
5,7
5,22
6,14
6,15
7,8
7,27
8,9
8,10
9,11
9,13
10,21
10,29
11,12
11,20
12,31
12,32
13,25
13,92
14,16
14,17
15,276
15,277
16,208
16,209
17,19
17,47
18,36
18,26
20,42
20,117
21,76
21,96
22,24
22,247
23,28
23,38
24,50
24,51
25,107
25,108
26,33
26,95
27,98
27,99
28,34
28,160
30,39
30,40
31,97
31,203
32,35
32,41
33,52
33,53
34,192
34,64
35,43
35,44
36,37
36,66
38,86
38,240
39,45
39,46
40,140
40,141
41,54
41,55
42,128
42,129
44,84
44,85
45,48
45,102
46,58
46,59
47,61
47,62
48,49
48,80
49,67
49,68
50,250
50,251
51,82
51,83
52,89
52,116
54,218
54,219
55,56
55,57
56,71
56,72
57,73
57,74
58,63
58,65
59,60
59,75
60,106
60,166
63,138
63,139
64,69
64,70
65,87
65,88
68,113
68,114
70,136
70,137
71,290
71,291
72,151
72,161
74,77
74,118
75,173
75,174
76,78
76,79
78,146
78,147
79,158
79,159
80,81
80,105
81,90
81,91
83,172
83,195
85,93
85,94
86,111
86,112
87,132
87,133
89,103
89,104
90,100
90,101
91,130
91,131
94,296
94,297
96,210
96,211
97,109
97,110
100,126
100,127
102,156
102,157
103,228
103,229
104,142
104,143
105,115
105,123
107,212
107,213
109,119
109,148
112,121
112,122
113,120
113,200
114,164
114,165
115,124
115,125
117,170
117,171
120,226
120,227
121,270
121,271
122,182
122,183
124,144
124,145
125,178
125,179
129,134
129,135
130,236
130,237
132,167
132,175
133,149
133,150
135,222
135,223
136,278
136,279
142,262
142,263
143,186
143,187
145,224
145,225
146,154
146,155
147,152
147,153
148,168
148,169
149,184
149,185
150,162
150,163
151,180
151,181
153,274
153,275
155,176
155,177
162,220
162,221
163,190
163,191
164,206
164,207
165,193
165,194
166,204
166,205
167,264
167,265
168,201
168,202
171,198
171,199
175,230
175,231
176,196
176,197
178,234
178,235
180,258
180,259
182,284
182,285
185,254
185,255
187,188
187,189
189,256
189,257
194,241
194,242
196,252
196,253
197,266
197,267
200,216
200,217
205,214
205,215
206,243
206,244
209,282
209,283
215,260
215,261
220,232
220,233
221,268
221,269
224,245
224,246
228,272
228,273
229,280
229,281
230,238
230,239
235,248
235,249
245,292
245,293
249,286
249,287
255,298
255,299
263,288
263,289
292,294
292,295
