src,dst
0,1
1,2
1,3
2,5
2,6
3,4
3,211
4,14
4,35
5,7
5,8
6,10
6,11
7,9
7,17
8,47
8,43
9,62
9,81
10,54
10,92
11,12
11,13
12,15
12,16
13,32
13,72
14,28
14,42
15,21
15,36
16,18
16,22
17,34
17,179
18,19
18,20
19,71
19,73
20,106
20,329
21,25
21,29
22,23
22,24
23,26
23,27
24,30
24,31
25,38
25,86
26,33
26,64
27,49
27,63
28,48
28,347
29,186
29,94
30,240
30,241
31,37
31,89
32,45
32,46
33,245
33,246
34,60
34,61
35,41
35,56
36,39
36,40
37,119
37,183
38,117
38,131
40,130
40,157
41,44
41,75
43,50
43,51
44,70
44,74
45,124
45,125
46,55
46,84
47,65
47,91
48,85
48,112
49,146
49,108
50,66
50,189
51,52
51,53
52,447
52,448
53,58
53,59
54,57
54,99
55,87
55,98
56,67
56,68
57,76
57,77
59,82
59,205
60,388
60,776
61,147
61,93
62,138
62,348
63,69
63,90
64,325
64,326
65,187
65,188
66,78
66,79
68,83
68,115
69,109
69,107
71,370
71,334
72,647
72,80
73,88
73,481
75,265
75,266
76,170
76,173
77,181
77,317
79,222
79,343
80,419
80,420
81,134
81,135
82,142
82,143
84,281
84,282
85,174
85,175
86,100
86,101
87,180
87,214
88,95
88,96
89,197
89,141
90,621
90,519
91,139
91,140
93,97
93,309
94,227
94,228
95,110
95,111
96,116
96,118
97,104
97,105
98,102
98,103
99,121
99,122
100,113
100,114
101,504
101,505
102,154
102,155
103,126
103,770
104,151
104,166
105,120
105,150
106,172
106,144
107,123
107,148
108,202
108,437
109,310
109,207
110,127
110,440
111,128
111,129
112,324
112,790
113,160
113,161
114,257
114,149
115,132
115,133
116,182
116,171
117,158
117,159
118,168
118,169
119,152
119,153
120,269
120,303
121,248
121,249
122,700
122,701
123,137
123,537
124,691
124,692
125,194
125,195
126,288
126,289
127,267
127,268
128,344
128,354
129,683
129,684
131,167
131,251
132,178
132,319
133,301
133,302
134,869
134,870
135,136
135,775
137,192
137,193
138,145
138,204
139,550
139,551
140,217
140,218
142,262
142,263
143,164
143,165
144,221
144,391
145,308
145,361
146,586
146,587
147,253
147,254
148,176
148,177
149,675
149,676
150,215
150,216
151,162
151,163
152,156
152,201
153,385
153,386
154,465
154,615
155,250
155,270
156,258
156,259
157,237
157,238
158,365
158,366
159,219
159,220
160,285
160,449
161,199
161,200
163,468
163,469
164,597
164,598
165,271
165,272
166,601
166,602
167,633
167,634
168,260
168,261
169,184
169,185
170,898
170,899
171,190
171,191
172,213
172,396
173,1061
173,1062
175,874
175,875
176,711
176,712
177,231
177,232
180,279
180,280
181,198
181,364
182,223
182,300
183,867
183,868
184,209
184,210
187,242
187,243
188,196
188,208
190,230
190,917
191,206
191,212
192,397
192,398
193,435
193,436
194,474
194,475
196,476
196,477
197,225
197,226
199,330
199,331
200,609
200,610
201,355
201,356
202,203
202,740
203,1158
203,1159
204,400
204,1009
205,425
205,426
206,295
206,431
207,441
207,442
208,878
208,879
210,792
210,793
211,224
211,229
212,433
212,434
213,318
213,339
215,338
215,573
216,382
216,387
217,320
217,321
218,293
218,294
219,755
219,1060
220,1178
220,1179
221,239
221,244
222,273
222,274
223,408
223,409
224,291
224,292
225,865
225,866
226,351
226,352
228,708
228,1075
229,723
229,724
230,235
230,236
231,233
231,234
232,247
232,646
234,540
234,541
236,255
236,256
237,843
237,844
238,784
238,785
239,286
239,287
240,544
240,545
241,369
241,482
242,299
242,305
243,640
243,641
244,252
244,552
245,582
245,583
246,383
246,384
249,402
249,403
250,421
250,422
251,304
251,327
252,332
252,333
253,275
253,276
254,283
254,284
255,314
255,342
256,581
256,852
258,277
258,278
259,337
259,607
260,561
260,562
261,427
261,428
262,264
262,296
263,340
263,341
264,592
264,732
265,918
265,919
267,524
267,525
269,306
269,307
270,315
270,316
272,312
272,313
273,913
273,914
274,378
274,379
275,297
275,298
276,429
276,430
277,362
277,363
278,335
278,336
281,290
281,311
282,345
282,346
283,480
283,471
284,747
284,748
287,353
287,412
288,1041
288,1042
289,349
289,350
290,781
290,782
292,322
292,323
294,1120
294,1121
295,415
295,470
296,392
296,393
297,380
297,381
298,777
298,778
299,1154
299,1155
300,660
300,661
303,948
303,949
305,411
305,620
306,478
306,479
307,358
307,359
310,483
310,484
311,416
311,417
312,721
312,722
313,616
313,617
314,328
314,705
315,450
315,451
316,548
316,549
318,555
318,556
319,580
319,663
320,357
320,418
322,972
322,973
323,515
323,516
324,373
324,374
325,642
325,643
327,589
327,590
328,753
328,754
331,850
331,851
332,489
332,491
333,535
333,536
335,367
335,368
337,751
337,752
339,542
339,543
342,650
342,706
345,389
345,390
347,603
347,604
348,406
348,407
349,995
349,996
350,376
350,377
351,371
351,372
352,485
352,486
353,401
353,508
354,529
354,530
355,399
355,528
356,360
356,520
357,413
357,414
358,1132
358,1133
359,404
359,405
360,526
360,527
361,463
361,464
362,466
362,467
363,394
363,395
365,375
365,490
366,871
366,1096
367,521
367,522
368,599
368,600
369,492
369,493
373,513
373,514
374,952
374,953
375,487
375,488
376,664
376,665
377,1176
377,1177
379,924
379,925
380,681
380,682
382,443
382,444
383,1128
383,1129
384,496
384,497
385,887
385,888
386,1069
386,1070
387,578
387,579
388,960
388,961
390,423
390,424
391,737
391,738
393,531
393,532
394,922
394,923
395,472
395,662
396,766
396,767
397,458
397,845
399,608
399,760
401,511
401,512
402,454
402,455
403,410
403,707
404,1076
404,1077
405,432
405,639
406,1063
406,1064
409,698
409,699
411,456
411,457
412,818
412,819
413,648
413,649
414,438
414,439
415,523
415,591
416,559
416,560
417,1054
417,1055
420,801
420,802
421,704
421,1049
424,799
424,800
425,584
425,585
426,962
426,963
427,461
427,462
428,445
428,446
430,574
430,575
431,509
431,510
432,452
432,453
434,459
434,460
436,876
436,877
438,950
438,951
439,553
439,554
440,653
440,654
443,494
443,495
445,1035
445,1036
448,506
448,507
449,846
449,847
452,533
452,534
453,679
453,680
454,687
454,688
456,473
456,697
457,611
457,612
460,1020
460,1021
463,538
463,539
467,613
467,614
468,810
468,811
471,595
471,596
472,618
472,619
473,968
473,1119
478,715
478,716
479,631
479,632
480,783
480,796
481,816
481,817
482,557
482,558
483,517
483,518
485,807
485,904
486,498
486,499
487,1005
487,1006
488,822
488,823
490,893
490,894
491,576
491,577
492,657
492,658
494,500
494,501
495,593
495,594
496,1150
496,1151
499,1162
499,1163
500,502
500,503
501,567
501,568
502,659
502,739
507,605
507,606
509,670
509,671
511,808
511,809
512,1012
512,1013
516,788
516,789
523,812
523,813
524,563
524,564
526,883
526,884
528,1058
528,1059
529,820
529,821
530,803
530,804
531,571
531,572
532,915
532,916
533,624
533,791
534,974
534,975
536,773
536,774
537,622
537,623
538,761
538,762
540,644
540,645
542,637
542,638
544,546
544,547
545,666
545,667
547,1194
547,1195
548,565
548,566
549,1056
549,1057
551,934
551,935
555,749
555,750
556,588
556,729
557,730
557,731
560,771
560,772
563,651
563,652
567,635
567,636
568,569
568,570
570,993
570,994
572,677
572,678
576,685
576,686
577,896
577,897
578,627
578,628
581,983
581,984
582,768
582,769
583,1124
583,1125
584,814
584,815
585,717
585,718
589,1111
589,1112
591,625
591,626
592,672
592,763
594,889
594,890
595,693
595,694
596,956
596,957
599,797
599,798
601,673
601,674
602,758
602,759
605,629
605,630
607,837
607,838
608,926
608,927
612,930
612,931
615,741
615,742
618,881
618,882
624,1172
624,1173
626,764
626,765
627,702
627,703
629,938
629,939
630,895
630,971
631,745
631,746
632,966
632,967
634,668
634,669
636,839
636,840
637,826
637,827
639,1082
639,1083
640,848
640,849
641,999
641,1000
643,756
643,757
646,655
646,656
648,920
648,921
652,942
652,943
