src,dst
0,1
1,2
1,3
2,8
2,9
3,4
3,5
4,6
4,99
5,7
5,21
6,14
6,218
7,15
7,16
8,10
8,39
9,24
9,31
10,11
10,12
11,22
11,23
12,13
12,17
13,25
13,26
14,18
14,19
15,63
15,76
17,29
17,30
18,20
18,47
19,41
19,42
20,34
20,35
21,43
21,147
22,44
22,45
23,27
23,28
24,36
24,37
25,67
25,130
26,132
26,133
27,40
27,110
28,92
28,93
29,32
29,33
30,65
30,48
32,171
32,172
33,46
33,64
34,51
34,230
35,58
35,69
36,153
36,154
37,38
37,113
38,77
38,68
39,191
39,192
41,52
41,53
43,235
43,236
44,97
44,98
45,54
45,74
46,49
46,50
47,66
47,109
48,55
48,56
49,59
49,82
50,57
50,91
51,60
51,61
53,94
53,148
54,159
54,190
55,79
55,116
56,169
56,170
57,166
57,143
58,62
58,75
61,121
61,241
62,135
62,158
63,85
63,86
64,71
64,72
65,73
65,100
66,101
66,102
67,70
67,122
68,160
68,161
69,78
69,81
70,123
70,131
72,138
72,139
73,95
73,96
74,128
74,129
76,80
76,90
77,87
77,88
78,103
78,104
80,117
80,118
81,89
81,205
82,83
82,84
84,126
84,127
86,175
86,176
87,167
87,168
90,107
90,108
92,270
92,271
93,272
93,273
94,105
94,106
95,111
95,112
98,195
98,196
101,225
101,226
102,114
102,115
103,119
103,120
104,162
104,163
109,181
109,182
111,211
111,212
112,219
112,220
114,188
114,189
116,144
116,145
117,237
117,238
118,231
118,232
119,178
119,177
120,124
120,125
122,151
122,233
123,183
123,184
124,140
124,141
125,134
125,185
126,193
126,194
130,136
130,137
132,268
132,269
133,179
133,180
134,264
134,265
136,173
136,174
137,146
137,152
139,209
139,210
140,142
140,155
141,149
141,150
143,164
143,165
145,223
145,224
147,215
147,229
148,254
148,255
151,213
151,214
154,186
154,187
155,156
155,157
156,250
156,251
160,246
160,247
163,221
163,222
166,216
166,217
170,278
170,279
171,206
171,207
179,294
179,295
180,203
180,204
182,258
182,259
184,201
184,202
188,199
188,200
189,197
189,198
190,244
190,245
197,208
197,234
199,239
199,240
202,266
202,267
204,256
204,257
210,276
210,277
218,292
218,293
220,227
220,228
221,298
221,299
225,242
225,243
226,248
226,249
234,296
234,297
240,286
240,287
245,290
245,291
249,252
249,253
252,288
252,289
255,262
255,263
256,260
256,261
257,282
257,283
258,274
258,275
263,280
263,281
283,284
283,285
