src,dst
0,1
1,2
1,3
2,8
2,9
3,4
3,5
4,6
4,92
5,7
5,21
6,14
6,188
7,15
7,16
8,10
8,39
9,24
9,31
10,11
10,12
11,22
11,23
12,13
12,17
13,25
13,26
14,18
14,19
15,61
15,74
16,264
16,265
17,29
17,30
18,20
18,46
19,41
19,42
20,34
20,35
21,43
21,132
22,44
22,172
23,27
23,28
24,36
24,37
25,65
25,117
26,119
26,120
27,40
27,102
28,88
28,236
29,32
29,33
30,63
30,47
31,295
31,296
32,152
32,180
33,45
33,62
34,49
34,199
35,56
35,67
36,138
36,280
37,38
37,105
38,75
38,66
39,169
39,170
41,50
41,51
43,203
43,204
44,52
44,72
45,48
45,55
46,64
46,101
47,53
47,54
48,57
48,79
49,58
49,59
51,89
51,133
52,143
52,168
53,77
53,193
54,151
54,242
55,187
55,130
56,60
56,73
59,110
59,208
60,122
60,142
61,82
61,83
62,69
62,70
63,71
63,93
64,94
64,95
65,68
65,111
66,144
66,145
67,76
67,86
68,112
68,118
69,282
69,283
70,125
70,126
71,90
71,91
72,116
72,290
74,78
74,87
75,84
75,85
76,96
76,146
78,108
78,205
79,80
79,81
81,115
81,171
82,353
82,354
83,155
83,156
84,149
84,150
87,99
87,100
88,237
88,238
89,97
89,98
90,103
90,104
93,398
93,399
94,194
94,195
95,106
95,107
96,109
96,157
101,160
101,161
102,351
102,352
103,183
103,184
104,189
104,190
106,167
106,175
108,200
108,201
109,113
109,114
111,136
111,202
112,162
112,163
113,127
113,128
114,121
114,164
117,123
117,124
118,260
118,261
119,234
119,235
120,158
120,159
121,230
121,231
122,297
122,298
123,153
123,154
124,131
124,137
126,181
126,182
127,129
127,139
128,134
128,135
129,347
129,348
130,147
130,148
132,186
132,198
133,221
133,222
136,185
136,281
137,341
137,342
138,165
138,166
139,140
139,141
140,217
140,218
141,366
141,367
144,213
144,214
145,271
145,272
146,191
146,192
148,331
148,332
149,301
149,302
156,284
156,285
158,255
158,256
159,178
159,179
160,374
160,375
161,225
161,239
163,176
163,177
164,286
164,287
167,173
167,174
168,211
168,212
169,278
169,279
172,267
172,268
173,266
173,257
174,396
174,397
175,206
175,207
177,232
177,233
179,223
179,224
182,240
182,241
184,349
184,350
188,253
188,254
190,196
190,197
191,258
191,259
194,209
194,210
195,215
195,216
200,327
200,328
206,269
206,270
207,247
207,248
210,329
210,330
212,251
212,252
215,309
215,310
216,219
216,220
219,249
219,250
220,293
220,294
221,312
221,313
222,228
222,229
223,226
223,227
224,245
224,246
228,368
228,369
229,243
229,244
232,360
232,361
235,262
235,263
242,316
242,317
245,325
245,326
246,337
246,338
252,276
252,277
254,345
254,346
261,288
261,289
270,273
270,274
271,275
271,311
272,291
272,292
273,324
273,357
276,303
276,304
277,335
277,336
280,318
280,319
281,382
281,383
286,394
286,395
287,388
287,389
288,307
288,308
290,299
290,300
294,320
294,321
299,305
299,306
304,390
304,391
309,392
309,393
312,314
312,315
313,370
313,371
315,376
315,377
320,322
320,323
321,333
321,334
325,355
325,356
329,339
329,340
332,343
332,344
335,378
335,379
338,362
338,363
341,372
341,373
353,358
353,359
356,386
356,387
357,364
357,365
360,384
360,385
361,380
361,381
