src,dst
0,1
1,3
1,2
2,29
2,369
3,5
3,4
4,6
4,7
5,8
5,62
6,15
6,9
7,30
7,18
8,11
8,12
9,10
9,49
10,16
10,65
11,17
11,54
12,13
12,14
13,22
13,35
14,19
14,337
15,131
15,32
16,38
16,48
17,134
17,135
18,33
18,95
19,20
19,21
20,42
20,100
21,76
21,77
22,23
22,74
23,24
23,25
24,28
24,50
25,26
25,27
26,31
26,34
27,39
27,372
28,276
28,104
29,43
29,86
30,66
30,45
31,63
31,64
32,40
32,46
33,97
33,36
34,37
34,41
35,47
35,51
36,44
36,52
38,124
38,153
39,67
39,68
40,53
40,94
41,71
41,129
44,79
44,325
45,55
45,56
46,101
46,117
47,139
47,212
48,191
48,192
49,57
49,78
50,85
50,181
51,91
51,92
52,507
52,223
53,257
53,258
54,58
54,59
55,60
55,61
56,80
56,142
57,169
57,170
58,190
58,228
59,207
59,229
60,105
60,106
61,69
61,70
62,83
62,84
63,107
63,309
64,176
64,146
65,132
65,133
66,156
66,157
67,111
67,179
68,116
68,130
69,75
69,140
70,234
70,235
71,72
71,73
72,211
72,368
73,90
73,158
74,93
74,230
75,217
75,96
76,145
76,184
77,243
77,244
78,150
78,109
79,82
79,416
80,81
80,280
81,87
81,88
82,163
82,189
83,108
83,213
84,375
84,99
85,238
85,239
86,149
86,218
87,89
87,306
88,166
88,208
89,102
89,103
90,528
90,529
91,350
91,151
92,261
92,269
93,400
93,401
94,137
94,138
95,110
95,360
96,98
96,353
97,477
97,478
98,120
98,121
99,171
99,283
100,118
100,119
102,122
102,123
103,113
103,277
104,141
104,237
105,143
105,144
106,538
106,539
107,159
107,177
108,252
108,253
109,112
109,210
110,214
110,215
111,114
111,115
112,273
112,274
113,125
113,126
114,167
114,168
116,255
116,256
117,136
117,155
118,293
118,307
119,127
119,188
120,165
120,185
121,241
121,242
122,376
122,377
123,289
123,290
124,319
124,320
125,216
125,236
126,128
126,249
127,186
127,187
128,452
128,453
129,462
129,463
130,220
130,286
131,330
131,331
132,162
132,164
133,351
133,352
134,160
134,161
135,152
135,324
136,209
136,305
137,282
137,308
138,204
138,205
139,443
139,444
140,343
140,344
141,278
141,279
142,182
142,183
143,317
143,318
144,147
144,148
145,154
145,378
146,431
146,432
147,487
147,488
148,398
148,399
150,197
150,198
151,172
151,173
152,578
152,579
153,221
153,222
155,180
155,219
156,295
156,296
157,469
157,470
158,414
158,415
159,231
159,232
160,348
160,349
161,193
161,194
163,536
163,537
164,174
164,175
165,272
165,383
167,439
167,440
168,224
168,225
169,178
169,413
172,201
172,262
176,202
176,203
177,195
177,196
178,357
178,294
179,450
179,451
180,510
180,511
183,259
183,260
184,358
184,359
185,247
185,248
189,226
189,227
195,284
195,314
197,199
197,200
200,302
200,361
201,315
201,316
203,303
203,304
205,206
205,288
207,310
207,311
209,355
209,356
211,441
211,442
214,421
214,422
216,388
216,389
217,332
217,333
220,366
220,367
221,270
221,271
230,233
230,287
234,267
234,268
235,240
235,254
236,354
236,489
237,265
237,266
240,297
240,298
241,250
241,251
242,245
242,246
243,405
243,406
245,275
245,336
246,501
246,502
248,263
248,264
249,342
249,381
250,326
250,327
252,409
252,410
256,340
256,341
258,300
258,301
259,534
259,535
261,321
261,322
263,446
263,447
264,379
264,380
267,423
267,424
268,291
268,292
269,520
269,521
270,364
270,365
272,574
272,575
273,530
273,531
275,334
275,335
276,338
276,339
278,281
278,285
279,390
279,391
280,494
280,495
281,299
281,323
282,392
282,393
284,562
284,563
286,347
286,382
288,328
288,329
289,481
289,482
297,396
297,397
298,475
298,476
299,312
299,313
301,464
301,465
304,404
304,456
305,445
305,468
310,576
310,577
321,448
321,449
322,572
322,573
323,370
323,371
324,417
324,418
326,522
326,523
328,394
328,395
333,384
333,385
337,552
337,553
338,362
338,363
340,542
340,543
341,345
341,346
343,426
343,427
347,457
347,458
348,386
348,387
349,454
349,455
350,505
350,506
354,373
354,374
360,419
360,420
362,588
362,589
364,402
364,403
367,407
367,408
374,411
374,412
375,485
375,486
376,516
376,517
377,580
377,581
384,496
384,497
385,473
385,474
392,466
392,467
395,492
395,493
399,437
399,438
402,461
402,498
404,503
404,504
407,596
407,597
408,425
408,428
409,564
409,565
411,592
411,593
420,429
420,430
421,514
421,515
424,508
424,509
426,459
426,460
427,433
427,434
431,435
431,436
440,566
440,567
443,526
443,527
444,479
444,480
448,524
448,525
452,544
452,545
454,560
454,561
457,512
457,513
459,483
459,484
463,586
463,587
464,471
464,472
480,490
480,491
481,594
481,595
482,568
482,569
497,499
497,500
504,546
504,547
507,532
507,533
513,540
513,541
515,556
515,557
516,554
516,555
517,518
517,519
524,570
524,571
525,582
525,583
526,548
526,549
530,598
530,599
539,590
539,591
543,550
543,551
547,558
547,559
577,584
577,585
