src,dst
0,1
1,2
1,7
2,3
2,4
3,13
3,25
4,5
4,10
5,6
5,12
6,14
6,15
7,8
7,9
8,11
8,20
9,21
9,22
10,18
10,67
11,33
11,19
12,49
12,53
13,45
13,23
14,54
14,47
15,16
15,17
16,34
16,35
17,75
17,199
18,89
18,26
19,30
19,31
20,36
20,42
21,79
21,80
22,28
22,289
23,24
23,27
24,147
24,155
25,32
25,65
26,29
26,62
27,108
27,117
28,43
28,44
29,37
29,213
30,66
30,210
31,101
31,102
32,38
32,46
33,63
33,64
34,540
34,131
35,41
35,107
36,104
36,279
37,39
37,40
38,122
38,123
39,71
39,73
40,55
40,72
41,509
41,91
42,76
42,95
43,61
43,85
44,52
44,234
45,92
45,164
46,96
46,83
47,207
47,48
48,50
48,51
49,197
49,198
50,298
50,598
52,144
52,145
53,56
53,567
54,59
54,60
55,57
55,58
56,156
56,237
57,125
57,309
58,68
58,170
59,99
59,227
60,90
60,97
61,329
61,330
62,165
62,208
63,533
63,534
64,174
64,175
65,105
65,1077
66,126
66,127
67,69
67,70
68,74
68,106
69,149
69,784
70,440
70,427
71,150
71,229
72,112
72,178
73,77
73,256
74,98
74,387
75,135
75,345
76,86
76,87
77,78
77,388
78,141
78,142
79,93
79,94
80,81
80,82
81,221
81,259
82,103
82,244
83,84
83,88
84,109
84,110
85,146
85,231
86,209
86,636
88,159
88,160
89,113
89,369
91,100
91,171
93,195
93,358
94,136
94,143
95,166
95,341
96,130
96,984
97,825
97,826
98,128
98,129
99,172
99,173
100,543
100,544
101,118
101,433
102,111
102,132
103,121
103,228
105,518
105,519
106,115
106,116
108,182
108,183
109,200
109,201
110,351
110,593
111,114
111,133
112,758
112,759
113,124
113,359
114,119
114,120
115,134
115,283
116,161
116,162
117,137
117,138
118,148
118,490
119,193
119,779
120,177
120,230
121,380
121,589
122,253
122,254
123,262
123,263
124,305
124,625
125,277
125,278
126,248
126,249
127,180
127,181
128,762
128,763
129,163
129,371
130,695
130,696
131,299
131,300
132,468
132,469
133,463
133,464
134,153
134,154
135,151
135,152
136,157
136,158
137,212
137,265
138,139
138,140
139,583
139,961
140,459
140,460
141,169
141,176
142,316
142,317
143,188
143,295
144,191
144,211
145,704
145,194
146,179
146,252
147,400
147,757
150,705
150,409
151,242
151,243
152,1129
152,1130
153,1169
153,1170
154,284
154,285
155,184
155,185
156,1057
156,1058
157,363
157,364
158,292
158,293
159,334
159,335
161,258
161,294
162,320
162,321
163,206
163,641
164,167
164,168
165,225
165,226
166,311
166,436
167,273
167,274
168,702
168,703
169,397
169,398
170,547
170,548
171,202
171,203
172,204
172,205
173,306
173,307
174,822
174,823
176,270
176,344
177,186
177,187
178,557
178,615
179,405
179,595
180,685
180,686
181,192
181,238
182,301
182,766
183,196
183,280
184,410
184,586
185,304
185,428
186,331
186,406
187,189
187,190
188,793
188,893
189,592
189,257
190,697
190,860
191,411
191,412
192,250
192,251
193,336
193,337
194,215
194,216
195,232
195,233
196,1192
196,1193
197,401
197,402
198,354
198,355
199,223
199,224
200,465
200,494
202,217
202,218
203,360
203,332
205,214
205,255
206,302
206,303
207,268
207,269
208,504
208,505
209,222
209,349
210,219
210,220
211,348
211,439
212,646
212,647
214,239
214,450
215,271
215,272
216,287
216,288
217,266
217,267
218,442
218,443
219,1016
219,1017
220,240
220,241
222,579
222,580
223,291
223,315
225,235
225,236
226,308
226,572
228,245
228,246
233,247
233,403
234,816
234,664
235,804
235,805
236,374
236,375
237,563
237,564
238,630
238,1052
241,489
241,717
244,648
244,679
245,347
245,470
247,327
247,328
249,541
249,637
250,524
250,264
251,275
251,276
252,368
252,473
253,659
253,660
254,372
254,373
255,260
255,261
256,1094
256,1095
257,725
257,726
259,296
259,297
260,640
260,661
261,1141
261,1142
262,318
262,319
264,904
264,905
266,527
266,528
267,286
267,754
268,312
268,313
270,457
270,458
271,281
271,282
272,290
272,399
273,322
273,425
274,730
274,731
275,634
275,635
276,842
276,910
277,356
277,357
278,352
278,353
281,366
281,367
283,474
283,475
285,419
285,420
287,655
287,656
288,434
288,435
289,339
289,340
290,491
290,506
291,769
291,770
292,747
292,783
294,461
294,462
295,510
295,511
296,310
296,631
297,325
297,346
299,927
299,928
300,365
300,857
301,626
301,627
302,722
302,1045
303,389
303,441
304,1069
304,1070
305,323
305,324
306,584
306,585
308,775
308,776
309,314
309,326
310,693
310,694
311,590
311,591
312,376
312,377
314,385
314,386
315,342
315,343
316,333
316,690
318,361
318,362
319,502
319,503
320,487
320,488
321,370
321,416
322,446
322,447
323,453
323,454
326,413
326,414
327,390
327,391
329,383
329,384
330,512
330,513
331,378
331,379
332,1117
332,1118
333,898
333,899
334,565
334,566
335,1104
335,1105
336,338
336,558
338,525
338,526
339,417
339,418
340,499
340,500
341,552
341,553
342,350
342,392
343,426
343,429
345,430
345,431
346,1001
346,1002
347,609
347,610
348,423
348,424
350,407
350,408
351,495
351,496
352,817
352,818
353,381
353,382
354,951
354,952
357,481
357,482
359,476
359,477
361,395
361,396
363,651
363,652
364,432
364,972
367,437
367,438
370,708
370,709
371,680
371,681
373,720
373,721
374,421
374,422
375,451
375,452
378,529
378,530
379,393
379,394
380,538
380,539
383,471
383,472
384,478
384,521
385,561
385,562
389,507
389,508
390,404
390,987
397,771
397,772
398,1181
398,1182
399,415
399,479
401,501
401,520
403,1071
403,1072
405,698
405,699
406,723
406,724
408,773
408,774
409,483
409,484
411,599
411,600
412,568
412,569
415,573
415,574
416,444
416,445
417,925
417,926
418,577
418,578
420,628
420,629
421,497
421,498
422,587
422,588
423,1041
423,1042
424,448
424,449
425,535
425,536
426,480
426,537
431,549
431,550
432,879
432,880
434,1007
434,1008
436,677
436,678
438,485
438,486
440,466
440,467
441,455
441,456
443,613
443,614
444,955
444,956
445,1147
445,1148
447,522
447,523
449,1046
449,1047
451,911
451,912
453,1033
453,1034
454,559
454,560
455,1075
455,1076
459,873
459,874
460,737
460,738
463,743
463,744
464,531
464,532
466,913
466,914
468,596
468,597
469,545
469,546
471,1175
471,1176
472,492
472,493
474,970
474,971
476,556
476,594
478,997
478,998
482,657
482,658
483,542
483,551
485,908
485,909
487,814
487,815
488,760
488,761
491,665
491,666
492,581
492,582
494,618
494,619
495,516
495,517
497,966
497,967
499,847
499,848
500,716
500,821
501,710
501,711
502,611
502,612
503,1135
503,1136
505,620
505,689
507,575
507,576
509,861
509,862
511,673
511,674
513,514
513,515
514,735
514,736
515,682
515,683
518,990
518,991
519,841
519,868
524,554
524,555
525,896
525,897
526,962
526,963
527,835
527,836
531,607
531,608
532,570
532,571
533,881
533,882
534,794
534,795
541,732
541,1011
542,1153
542,1154
545,638
545,639
550,616
550,617
551,929
551,930
552,623
552,624
554,684
554,979
556,917
556,918
557,789
557,790
563,712
563,713
565,601
565,602
567,935
567,936
569,714
569,715
570,644
570,645
571,849
571,850
573,621
573,622
574,1171
574,1172
575,887
575,888
576,603
576,604
577,780
577,824
578,1143
578,1144
580,843
580,844
583,964
583,965
584,810
584,811
585,649
585,650
586,706
586,707
588,999
588,1000
592,839
592,840
597,667
597,668
598,605
598,606
599,745
599,746
600,662
600,663
603,632
603,633
604,833
604,834
610,748
610,749
611,1112
611,1113
614,798
614,799
615,1027
615,1028
616,700
616,701
619,781
619,782
622,1139
622,1140
625,894
625,895
626,727
626,728
627,739
627,740
628,1005
628,1006
630,767
630,768
631,653
631,654
632,733
632,734
634,671
634,672
635,752
635,753
636,675
636,676
637,1157
637,1158
639,642
639,643
640,787
640,788
641,915
641,916
642,831
642,832
643,669
643,670
644,1114
644,1115
648,819
648,820
653,855
653,856
656,729
656,996
657,741
657,742
660,808
660,809
661,1073
661,1074
