src,dst
0,1
1,3
1,2
2,18
2,23
3,4
3,5
4,6
4,29
5,7
5,22
6,14
6,15
7,8
7,93
8,9
8,10
9,11
9,13
10,21
10,28
11,12
11,20
12,30
12,31
13,25
13,344
14,16
14,17
15,252
15,253
16,191
16,192
17,19
17,46
18,35
18,26
20,41
20,110
21,73
21,91
22,24
22,227
23,27
23,37
24,49
24,50
25,100
25,101
26,32
26,90
27,33
27,148
29,38
29,39
30,92
30,351
31,34
31,40
32,51
32,52
33,177
33,63
34,42
34,43
35,36
35,313
37,83
37,220
38,44
38,45
39,131
39,132
40,53
40,54
41,121
41,122
42,294
42,295
43,81
43,82
44,47
44,95
45,57
45,58
46,60
46,61
47,48
47,77
48,65
48,66
49,230
49,231
50,79
50,80
51,86
51,109
53,201
53,202
54,55
54,56
55,69
55,70
56,71
56,72
57,62
57,64
58,59
58,159
59,99
59,153
61,298
61,299
62,129
62,130
63,67
63,68
64,84
64,85
65,324
65,325
66,106
66,107
68,128
68,254
69,265
69,266
70,141
70,149
72,74
72,111
73,75
73,76
75,137
75,143
76,146
76,147
77,78
77,98
78,87
78,94
80,158
80,180
81,288
81,289
82,88
82,89
83,104
83,105
84,124
84,125
86,96
86,97
87,123
87,217
88,368
88,369
89,271
89,272
91,193
91,194
92,102
92,103
94,119
94,120
95,144
95,145
96,210
96,211
97,133
97,134
98,108
98,116
100,195
100,196
102,112
102,138
105,114
105,115
106,113
106,185
107,152
107,190
108,117
108,118
109,314
109,315
110,156
110,157
113,208
113,209
114,248
114,249
115,167
115,168
116,370
116,371
117,135
117,136
118,163
118,164
122,126
122,127
124,160
124,243
125,139
125,140
127,204
127,205
133,241
133,242
134,171
134,172
136,206
136,207
137,142
137,251
138,154
138,155
139,169
139,170
140,150
140,151
141,165
141,166
143,161
143,162
144,362
144,363
150,203
150,214
151,175
151,176
152,178
152,179
153,188
153,189
154,186
154,187
155,309
155,310
157,183
157,184
159,326
159,327
160,212
160,213
161,181
161,182
163,215
163,216
165,238
165,275
166,316
166,317
167,259
167,260
168,279
168,280
169,290
169,291
170,234
170,235
171,302
171,303
172,173
172,174
173,281
173,282
174,236
174,237
175,384
175,385
179,221
179,222
180,376
180,377
181,232
181,233
182,244
182,245
185,199
185,200
189,197
189,198
190,223
190,224
192,257
192,258
196,364
196,365
197,328
197,329
198,239
198,240
200,330
200,331
203,246
203,247
204,336
204,337
206,225
206,226
210,250
210,343
211,255
211,256
212,218
212,219
215,338
215,339
216,228
216,229
218,283
218,284
221,318
221,319
224,278
224,304
225,267
225,268
226,276
226,277
229,261
229,262
230,392
230,393
232,292
232,293
233,356
233,357
234,296
234,297
235,273
235,274
236,322
236,323
237,307
237,308
242,263
242,264
246,358
246,359
256,305
256,306
259,334
259,335
262,345
262,346
264,320
264,321
267,269
267,270
268,352
268,353
270,285
270,286
273,300
273,301
274,287
274,342
281,398
281,399
296,347
296,348
297,354
297,355
298,382
298,383
300,360
300,361
301,349
301,350
303,380
303,381
305,394
305,395
307,340
307,341
308,311
308,312
315,332
315,333
329,366
329,367
341,378
341,379
342,396
342,397
344,388
344,389
350,374
350,375
352,386
352,387
355,372
355,373
385,390
385,391
