src,dst
0,1
1,2
1,4
2,3
2,5
3,12
3,23
4,7
4,6
5,15
5,20
6,8
6,9
7,10
7,11
8,33
8,41
9,13
9,14
10,17
10,26
11,38
11,39
12,21
12,22
13,57
13,58
14,16
14,169
15,18
15,19
16,31
16,32
17,29
17,30
18,24
18,25
19,119
19,120
20,89
20,100
21,59
21,60
22,34
22,70
23,27
23,28
24,140
24,141
25,42
25,43
27,40
27,101
32,35
32,36
33,51
33,52
34,37
34,45
35,44
35,46
36,47
36,48
37,85
37,86
38,124
38,125
39,111
39,112
44,78
44,79
45,66
45,67
46,49
46,50
47,196
47,197
48,53
48,54
49,81
49,82
50,74
50,75
53,62
53,63
54,55
54,56
55,61
55,102
56,68
56,69
58,64
58,65
59,135
59,136
60,72
60,73
61,133
61,134
62,83
62,84
63,121
63,122
65,113
65,71
66,137
66,138
67,80
67,132
68,92
68,93
70,165
70,166
71,76
71,77
72,94
72,95
73,161
73,162
74,98
74,99
75,114
75,131
76,129
76,130
78,87
78,88
79,105
79,106
81,90
81,91
82,117
82,118
83,109
83,110
88,107
88,108
89,96
89,97
92,115
92,116
94,123
94,128
96,152
96,153
97,176
97,177
98,103
98,104
99,163
99,164
100,170
100,171
104,167
104,168
105,126
105,127
106,144
106,145
109,150
109,151
110,198
110,199
112,172
112,173
113,146
113,147
115,154
115,155
119,178
119,179
122,139
122,160
125,156
125,157
127,142
127,143
128,188
128,189
129,186
129,187
130,148
130,149
131,158
131,159
136,192
136,193
143,174
143,175
151,184
151,185
165,190
165,191
167,182
167,183
171,194
171,195
178,180
178,181
