src,dst
0,1
1,2
1,7
2,3
2,4
3,13
3,26
4,5
4,10
5,6
5,12
6,14
6,15
7,8
7,9
8,11
8,21
9,22
9,23
10,16
10,19
11,37
11,20
12,65
12,71
13,54
13,24
14,46
14,74
15,17
15,18
16,90
16,91
17,38
17,39
18,103
18,105
19,36
19,27
20,33
20,34
21,40
21,51
22,110
22,111
23,29
23,30
24,25
24,28
25,234
25,249
26,35
26,88
27,31
27,32
28,155
28,156
29,200
29,201
30,52
30,53
31,84
31,85
32,41
32,42
33,89
33,154
34,140
34,141
35,43
35,55
36,123
36,122
37,86
37,87
38,48
38,49
39,47
39,50
40,145
40,146
42,44
42,45
43,184
43,185
44,96
44,100
45,75
45,99
46,56
46,57
47,98
47,125
48,59
48,60
49,159
49,160
50,150
50,151
51,77
51,104
52,82
52,83
53,69
53,70
54,126
54,127
55,58
55,133
56,61
56,62
58,114
58,115
60,97
60,128
61,68
61,186
62,63
62,64
63,66
63,67
64,163
64,164
70,228
70,229
71,72
71,73
72,76
72,101
73,152
73,153
74,80
74,81
75,78
75,79
76,252
76,253
77,131
77,132
78,190
78,191
79,92
79,93
80,136
80,137
81,124
81,134
83,117
83,118
84,267
84,268
87,284
87,285
88,147
88,148
89,192
89,193
90,94
90,95
92,278
92,279
93,102
93,149
94,239
94,240
95,187
95,203
96,241
96,242
99,167
99,168
100,106
100,107
102,135
102,209
103,210
103,211
104,119
104,120
107,108
107,109
108,216
108,217
109,222
109,223
110,129
110,130
111,112
111,113
113,143
113,144
114,142
114,271
115,116
115,121
116,157
116,158
118,230
118,231
121,256
121,257
122,169
122,170
125,138
125,139
127,265
127,266
128,232
128,233
130,212
130,213
132,269
132,270
133,196
133,197
135,194
135,195
136,282
136,283
139,276
139,277
140,176
140,177
141,161
141,162
143,165
143,166
144,182
144,183
149,172
149,173
153,178
153,179
155,298
155,299
156,174
156,175
160,198
160,199
161,202
161,264
162,171
162,206
167,292
167,293
169,188
169,189
171,180
171,181
172,207
172,208
173,258
173,259
174,214
174,215
177,237
177,238
181,290
181,291
187,250
187,251
189,218
189,219
191,243
191,244
193,296
193,297
195,262
195,263
196,288
196,289
198,204
198,205
208,247
208,248
210,245
210,246
212,254
212,255
213,224
213,225
215,220
215,221
222,274
222,275
225,226
225,227
229,260
229,261
231,294
231,295
234,235
234,236
266,272
266,273
275,286
275,287
276,280
276,281
