src,dst
0,1
1,3
1,2
2,27
2,274
3,5
3,4
4,6
4,7
5,8
5,56
6,15
6,9
7,28
7,18
8,11
8,12
9,10
9,44
10,16
10,58
11,17
11,48
12,13
12,14
13,21
13,33
14,19
14,426
15,110
15,30
16,35
16,157
17,112
17,113
18,31
18,83
19,20
19,87
20,69
20,187
21,22
21,67
22,23
22,24
23,26
23,45
24,25
24,36
25,29
25,32
26,252
26,89
27,39
27,123
28,59
28,41
29,57
29,91
30,37
30,42
31,338
31,34
32,616
32,38
33,43
33,46
34,40
34,174
35,241
35,127
36,60
36,61
37,47
37,82
38,64
38,108
40,71
40,244
41,49
41,50
42,98
42,588
43,116
43,168
44,51
44,70
45,77
45,149
46,80
46,81
47,197
47,198
48,52
48,53
49,54
49,55
50,72
50,119
51,138
51,139
52,156
52,177
53,235
53,178
54,90
54,380
55,62
55,63
56,75
56,76
57,144
57,121
58,111
58,262
59,130
59,333
60,96
60,147
61,97
61,109
62,68
62,117
63,180
63,181
64,65
64,66
65,319
65,273
66,79
66,131
67,563
67,295
68,171
68,84
69,267
69,128
70,124
70,93
71,74
71,303
72,73
72,213
73,78
73,137
74,135
74,176
75,92
75,169
76,343
76,86
77,183
77,688
78,88
78,95
79,374
79,651
80,261
80,125
81,200
81,206
82,115
82,165
83,170
83,268
84,85
84,263
85,101
85,102
86,216
86,454
87,99
87,100
88,103
88,104
89,118
89,182
90,120
90,499
91,145
91,179
92,192
92,193
93,94
93,167
94,208
94,209
95,105
95,106
96,318
96,175
97,195
97,196
98,114
98,129
99,224
99,500
100,107
100,155
101,404
101,152
102,185
102,186
103,278
103,279
104,220
104,221
105,286
105,277
106,325
106,255
107,153
107,154
108,331
108,535
109,218
109,272
110,248
110,503
111,134
111,136
112,132
112,133
113,126
113,243
114,166
114,234
115,215
115,510
116,320
116,339
117,256
117,1091
118,211
118,212
119,150
119,151
120,122
120,344
121,314
121,545
122,293
122,294
123,808
123,809
124,161
124,495
125,140
125,141
126,407
126,408
127,173
127,207
128,771
128,772
129,148
129,172
130,226
130,227
131,970
131,731
132,260
132,326
133,158
133,159
135,378
135,379
136,142
136,143
137,482
137,483
138,146
138,302
140,162
140,201
141,637
141,638
142,620
142,623
144,163
144,164
145,160
145,654
146,266
146,225
147,323
147,324
148,360
148,361
151,199
151,472
152,188
152,189
153,710
153,711
158,547
158,548
160,397
160,238
161,567
161,269
162,239
162,240
163,865
163,580
164,232
164,233
165,219
165,476
166,264
166,265
168,578
168,579
170,307
170,308
171,249
171,250
173,489
173,490
174,508
174,509
175,506
175,507
176,1096
176,1097
177,699
177,700
178,586
178,587
179,496
179,624
180,205
180,309
181,184
181,194
182,203
182,204
184,228
184,229
185,190
185,191
186,210
186,353
187,297
187,572
188,720
188,721
189,202
189,322
190,245
190,370
192,299
192,398
193,744
193,745
194,697
194,698
195,642
195,931
196,253
196,254
197,543
197,544
198,231
198,334
199,376
199,377
200,371
200,403
201,541
201,542
202,280
202,281
204,627
204,628
205,222
205,223
206,369
206,537
207,271
207,773
208,375
208,778
209,521
209,522
210,251
210,446
211,214
211,217
212,287
212,288
213,347
213,348
214,230
214,242
215,289
215,433
216,907
216,908
217,1169
217,1170
218,259
218,282
219,246
219,247
220,340
220,401
222,734
222,735
227,437
227,438
228,292
228,570
229,336
229,337
230,236
230,237
231,1031
231,1032
233,296
233,327
234,321
234,332
235,405
235,406
237,885
237,886
240,945
240,946
242,275
242,276
243,304
243,305
245,538
245,539
246,290
246,291
249,606
249,607
250,283
250,349
251,564
251,565
252,270
252,415
253,382
253,562
254,257
254,258
255,511
255,512
256,311
256,315
257,447
257,448
258,475
258,702
259,328
259,329
260,284
260,285
261,356
261,357
262,830
262,831
263,485
263,486
264,551
264,552
266,696
266,701
267,659
267,660
268,306
268,479
269,776
269,777
270,513
270,514
271,350
271,441
272,298
272,422
273,934
273,935
275,463
275,464
276,434
276,458
277,300
277,301
278,366
278,391
279,409
279,410
280,466
280,467
281,452
281,453
283,335
283,445
290,439
290,440
291,345
291,346
292,455
292,456
293,596
293,597
294,316
294,317
295,423
295,504
296,354
296,355
298,310
298,312
300,418
300,419
301,643
301,644
302,553
302,554
303,612
303,613
305,574
305,575
306,313
306,691
307,364
307,365
308,480
308,481
309,358
309,359
311,330
311,425
313,665
313,536
314,633
314,540
316,849
316,850
317,724
317,852
318,399
318,400
320,372
320,373
321,610
321,611
323,685
323,716
324,443
324,444
325,383
325,384
326,395
326,396
328,362
328,363
329,457
329,677
330,341
330,342
331,413
331,414
332,583
332,619
333,1127
333,1128
335,755
335,756
336,790
336,791
337,625
337,626
338,549
338,550
340,420
340,421
344,621
344,622
347,584
347,585
348,431
348,432
349,351
349,352
350,561
350,851
351,424
351,648
352,429
352,430
353,529
353,530
355,385
355,386
356,442
356,1057
357,459
357,460
358,703
358,704
359,450
359,451
360,468
360,469
361,828
361,829
363,381
363,1113
364,641
364,647
365,392
365,528
366,367
366,368
367,473
367,882
369,449
369,762
371,402
371,769
372,387
372,388
373,525
373,526
375,505
375,763
376,836
376,837
378,663
378,664
380,416
380,417
381,708
381,709
382,389
382,390
384,661
384,662
386,393
386,394
387,501
387,502
388,692
388,693
390,639
390,640
391,861
391,862
393,655
393,656
394,559
394,560
395,750
395,751
399,487
399,488
400,634
400,635
401,1060
401,1061
402,523
402,524
405,517
405,518
406,411
406,412
409,718
409,719
410,427
410,428
416,675
416,676
417,435
417,436
421,919
421,920
423,470
423,471
424,497
424,498
427,1155
427,1156
428,921
428,922
430,631
430,632
431,728
431,729
432,603
432,604
434,461
434,462
435,602
435,1173
436,571
436,605
437,581
437,582
439,1092
439,1093
440,617
440,618
443,465
443,797
444,796
444,573
445,594
445,595
447,590
447,591
448,674
448,768
450,636
450,1088
454,555
454,556
455,748
455,749
456,824
456,825
457,484
457,546
458,531
458,532
459,991
459,992
461,519
461,520
462,1167
462,1168
463,1023
463,1024
465,874
465,875
467,477
467,478
469,493
469,494
470,904
470,905
473,474
473,527
474,857
474,858
475,781
475,782
477,812
477,813
478,895
478,896
479,608
479,609
480,820
480,821
482,983
482,984
484,670
484,671
485,491
485,492
486,760
486,761
487,924
487,925
488,645
488,646
491,683
491,684
493,779
493,780
495,863
495,864
496,672
496,673
497,678
497,679
498,694
498,695
501,652
501,653
502,880
502,881
503,600
503,601
507,999
507,1000
508,533
508,534
510,872
510,873
512,515
512,516
513,859
513,860
514,598
514,599
520,706
520,707
523,730
523,942
524,1076
524,1077
526,814
526,815
527,1171
527,1172
530,736
530,737
531,746
531,747
533,592
533,593
534,1180
534,1181
535,557
535,558
536,938
536,939
539,589
539,717
541,568
541,569
542,1082
542,1083
543,657
543,658
544,993
544,994
546,566
546,680
549,668
549,669
550,845
550,846
553,1147
553,1148
557,1176
557,1177
558,757
558,758
562,1013
562,1014
563,1007
563,1008
566,893
566,894
567,1084
567,1085
568,1047
568,1048
571,764
571,765
573,576
573,577
576,1051
576,1052
577,800
577,801
579,802
579,803
580,740
580,741
584,826
584,827
585,614
585,615
590,987
590,988
591,1055
591,1056
593,947
593,948
595,722
595,723
598,936
598,937
601,1078
601,1079
604,666
604,667
608,899
608,926
609,840
609,841
610,792
610,793
611,794
611,795
615,927
615,928
619,843
619,844
621,1094
621,1095
622,681
622,682
624,1049
624,1050
626,629
626,630
629,847
629,848
631,1133
631,1134
632,1196
632,1197
636,834
636,835
637,752
637,783
638,705
638,842
639,686
639,687
642,649
642,650
643,915
643,916
644,962
644,963
645,810
645,811
647,806
647,807
650,1125
650,1126
654,712
654,713
658,714
658,715
661,1165
661,1166
665,753
665,754
669,726
669,727
670,1080
670,1081
671,902
671,903
674,798
674,799
675,960
675,961
676,1064
676,1065
677,689
677,690
678,1100
678,1118
680,866
680,867
681,742
681,743
686,870
686,871
689,788
689,789
690,766
690,767
692,774
692,775
694,911
694,912
697,952
697,953
701,876
701,877
702,1121
702,1122
708,725
708,930
709,738
709,739
720,784
720,785
723,853
723,854
724,929
724,980
727,732
727,733
728,973
728,974
729,1017
729,1018
733,966
733,967
738,1111
738,1112
744,818
744,819
745,770
745,923
746,1114
746,1115
747,759
747,906
748,932
748,933
751,822
751,823
758,1178
758,1179
759,1019
759,1020
763,786
763,787
766,1009
766,1010
769,804
769,805
770,1035
770,1036
778,1163
778,1164
779,1151
779,1152
784,1072
784,1073
785,964
785,965
787,900
787,901
788,954
788,955
789,1039
789,1040
793,943
793,944
794,889
794,890
795,1188
795,1189
797,997
797,998
799,897
799,898
801,838
801,839
802,887
802,888
804,1070
804,1071
807,855
807,856
808,832
808,833
810,816
810,817
812,995
812,996
814,891
814,892
815,913
815,914
823,985
823,986
824,868
824,869
834,909
834,910
835,1033
835,1034
836,989
836,990
837,1062
837,1063
844,981
844,982
857,1037
857,1038
858,1153
858,1154
861,878
861,879
868,1105
868,1106
870,917
870,918
874,883
874,884
875,1058
875,1059
882,1109
882,1110
884,949
884,950
890,958
890,959
893,951
893,979
894,1001
894,1002
896,971
896,972
900,1021
900,1022
904,940
904,941
905,1041
905,1042
910,956
910,957
911,1174
911,1175
915,1137
915,1138
918,1045
918,1046
919,1086
919,1087
921,1131
921,1132
924,1098
924,1099
925,1157
925,1158
928,1003
928,1004
932,1005
932,1006
936,977
936,978
941,1135
941,1136
943,968
943,969
949,1145
949,1146
950,1103
950,1104
951,1015
951,1016
954,1027
954,1028
956,1025
956,1026
960,1011
960,1012
961,1107
961,1108
964,1074
964,1075
968,975
968,976
982,1119
982,1120
984,1198
984,1199
990,1068
990,1069
998,1190
998,1191
1001,1043
1001,1044
1009,1066
1009,1067
1014,1053
1014,1054
1016,1161
1016,1162
1018,1029
1018,1030
1020,1186
1020,1187
1024,1123
1024,1124
1042,1143
1042,1144
1054,1089
1054,1090
1056,1159
1056,1160
1058,1194
1058,1195
1064,1101
1064,1102
1070,1149
1070,1150
1074,1141
1074,1142
1095,1116
1095,1117
1104,1129
1104,1130
1119,1184
1119,1185
1130,1192
1130,1193
1131,1139
1131,1140
1152,1182
1152,1183
