src,dst
0,1
1,2
1,4
2,3
2,9
3,5
3,8
4,27
4,42
5,6
5,7
6,10
6,11
7,23
7,24
8,12
8,15
9,16
9,53
10,56
10,73
11,13
11,14
12,40
12,232
13,17
13,36
14,19
14,20
15,21
15,22
16,26
16,33
17,18
17,25
18,58
18,37
19,148
19,149
20,35
20,54
21,180
21,274
22,28
22,29
23,30
23,57
24,99
24,100
26,43
26,44
27,311
27,323
28,167
28,112
29,31
29,41
30,67
30,68
31,32
31,169
32,39
32,76
33,34
33,90
34,38
34,94
36,95
36,96
37,49
37,50
38,77
38,78
39,59
39,326
40,47
40,48
41,161
41,162
42,55
42,163
43,45
43,46
44,70
44,71
45,135
45,140
46,152
46,153
47,61
47,268
48,166
48,170
50,51
50,52
52,79
52,80
54,97
54,98
56,60
56,69
57,63
57,64
58,62
58,174
59,65
59,66
60,72
60,109
61,123
61,197
63,120
63,171
64,111
64,130
65,102
65,290
66,143
66,198
67,74
67,75
68,150
68,151
69,86
69,87
70,296
70,297
71,83
71,84
72,240
72,241
73,124
73,125
74,315
74,316
75,81
75,82
76,105
76,106
78,118
78,119
79,133
79,134
81,85
81,91
83,254
83,255
84,238
84,239
85,103
85,104
86,295
86,302
87,88
87,89
88,92
88,93
89,116
89,117
90,141
90,142
91,146
91,147
92,101
92,113
93,185
93,229
95,107
95,108
96,183
96,184
101,144
101,145
102,244
102,245
103,275
103,276
104,110
104,379
105,154
105,155
106,131
106,132
108,335
108,336
109,114
109,115
110,128
110,129
113,164
113,165
114,319
114,320
115,204
115,205
117,126
117,127
118,212
118,288
119,121
119,122
120,291
120,292
121,138
121,139
123,191
123,192
124,247
124,248
125,157
125,158
126,186
126,187
127,181
127,182
128,215
128,233
129,159
129,160
130,272
130,273
131,189
131,190
132,136
132,137
134,349
134,350
137,264
137,265
140,206
140,207
142,168
142,179
143,225
143,226
144,175
144,176
145,371
145,372
146,156
146,188
147,262
147,263
148,394
148,395
149,285
149,286
150,281
150,282
151,252
151,253
154,353
154,354
158,172
158,173
161,193
161,194
164,202
164,203
167,250
167,251
168,216
168,217
169,221
169,222
170,177
170,178
173,208
173,209
175,210
175,211
176,199
176,200
178,230
178,231
179,270
179,271
181,218
181,219
183,382
183,383
185,195
185,196
187,380
187,381
189,398
189,399
190,213
190,214
193,234
193,235
195,363
195,364
197,359
197,360
199,201
199,220
201,337
201,338
202,256
202,257
203,266
203,267
204,386
204,387
205,246
205,289
208,223
208,224
211,329
211,330
216,277
216,278
218,287
218,312
219,227
219,228
220,279
220,280
224,343
224,344
225,300
225,301
227,347
227,348
228,309
228,310
229,249
229,269
231,390
231,391
234,236
234,237
238,298
238,299
240,242
240,243
241,305
241,306
250,303
250,304
255,258
255,259
257,260
257,261
262,324
262,325
263,321
263,322
265,369
265,370
268,333
268,334
270,331
270,332
271,293
271,294
275,367
275,368
276,355
276,356
280,283
280,284
281,396
281,397
283,377
283,378
294,351
294,352
298,317
298,318
302,307
302,308
304,313
304,314
305,327
305,328
307,392
307,393
314,373
314,374
329,341
329,342
330,339
330,340
331,345
331,346
333,361
333,362
339,357
339,358
342,384
342,385
343,388
343,389
364,365
364,366
370,375
370,376
