src,dst
0,1
1,2
1,3
2,8
2,9
3,4
3,5
4,6
4,85
5,7
5,21
6,14
6,177
7,15
7,16
8,10
8,36
9,24
9,277
10,11
10,12
11,22
11,23
12,13
12,17
13,25
13,26
14,18
14,19
15,56
15,68
16,247
16,248
17,28
17,29
18,20
18,42
19,37
19,38
20,45
20,32
21,39
21,123
22,40
22,161
23,27
23,95
24,33
24,34
25,60
25,109
26,111
26,112
27,81
27,220
28,30
28,31
29,58
29,43
30,141
30,169
31,41
31,57
32,62
32,55
33,128
33,263
34,35
34,98
35,69
35,61
36,158
36,159
37,46
37,47
39,190
39,191
40,48
40,67
41,44
41,51
42,59
42,94
43,49
43,50
44,52
44,73
45,53
45,54
47,82
47,124
48,132
48,157
49,71
49,181
50,140
50,226
51,176
51,121
52,379
52,380
54,103
54,195
55,278
55,131
56,76
56,328
57,64
57,65
58,66
58,86
59,87
59,88
60,63
60,104
61,133
61,134
62,70
62,79
63,105
63,110
64,264
64,265
65,116
65,117
66,83
66,84
67,272
67,378
68,72
68,80
69,77
69,78
70,89
70,135
72,101
72,192
73,74
73,75
75,108
75,160
76,144
76,145
77,138
77,139
80,92
80,93
81,221
81,222
82,90
82,91
83,96
83,97
84,401
84,402
86,362
86,363
87,182
87,183
88,99
88,100
89,102
89,146
94,149
94,150
95,326
95,327
96,172
96,173
97,178
97,179
99,156
99,164
101,187
101,188
102,106
102,107
104,127
104,189
105,151
105,152
106,118
106,119
107,113
107,153
108,389
108,390
109,114
109,115
110,243
110,244
111,218
111,219
112,147
112,148
113,214
113,215
114,142
114,143
115,122
115,342
117,170
117,171
118,120
118,129
119,125
119,126
120,322
120,323
121,136
121,137
122,405
122,406
123,175
123,186
124,208
124,209
126,462
126,463
127,174
127,350
128,154
128,155
129,130
129,338
130,204
130,205
132,490
132,491
133,200
133,201
134,254
134,255
135,180
135,242
136,498
136,499
137,308
137,309
138,281
138,282
144,472
144,473
145,266
145,267
147,239
147,240
148,167
148,168
149,343
149,471
150,211
150,223
151,419
151,420
152,165
152,166
153,268
153,269
156,162
156,163
157,198
157,199
158,261
158,262
161,250
161,251
162,249
162,241
163,360
163,361
164,193
164,194
166,216
166,217
168,210
168,212
169,368
169,369
171,224
171,225
173,324
173,325
175,446
175,447
176,488
176,489
177,237
177,238
179,184
179,185
182,196
182,197
183,202
183,203
187,304
187,305
192,440
192,441
193,252
193,253
194,231
194,232
196,469
196,470
197,306
197,307
198,448
198,449
199,235
199,236
202,289
202,357
203,206
203,207
206,233
206,234
207,275
207,276
208,291
208,292
209,213
209,339
210,229
210,230
212,417
212,418
213,227
213,228
215,383
215,384
216,333
216,334
218,371
218,372
219,245
219,246
224,458
224,459
226,295
226,296
227,436
227,437
229,302
229,303
230,314
230,315
232,373
232,374
233,385
233,386
236,259
236,260
237,482
237,483
238,320
238,321
240,387
240,388
243,421
243,422
244,270
244,271
253,256
253,257
254,258
254,290
255,273
255,274
256,301
256,337
257,426
257,427
259,283
259,284
260,312
260,313
263,297
263,298
265,480
265,481
268,358
268,359
269,354
269,466
270,287
270,288
271,476
271,477
272,279
272,280
273,381
273,382
276,299
276,300
279,285
279,286
284,355
284,356
286,364
286,365
290,442
290,443
291,293
291,294
292,340
292,341
294,344
294,345
297,438
297,439
298,496
298,497
299,310
299,311
301,407
301,408
302,329
302,330
303,399
303,400
306,316
306,317
307,393
307,394
309,318
309,319
312,346
312,347
313,409
313,410
315,335
315,336
316,492
316,493
318,450
318,451
321,434
321,435
323,376
323,377
326,454
326,455
328,331
328,332
330,352
330,353
331,411
331,412
332,415
332,416
333,351
333,370
334,348
334,349
335,432
335,433
336,456
336,457
337,391
337,392
343,464
343,465
344,397
344,398
345,395
345,396
348,494
348,495
350,375
350,423
355,430
355,431
358,366
358,367
360,474
360,475
369,413
369,414
370,460
370,461
373,486
373,487
378,403
378,404
379,428
379,429
391,484
391,485
403,467
403,468
411,424
411,425
423,444
423,445
438,452
438,453
461,478
461,479
