src,dst
0,1
1,2
1,3
2,5
2,6
3,4
3,286
4,14
4,23
5,7
5,8
6,10
6,11
7,9
7,17
8,51
8,47
9,70
9,98
10,59
10,116
11,12
11,13
12,15
12,16
13,33
13,83
14,29
14,46
15,21
15,38
16,18
16,22
17,35
17,36
18,19
18,20
19,80
19,84
20,132
20,237
21,26
21,30
22,24
22,25
23,37
23,67
24,27
24,28
25,31
25,32
26,40
26,41
27,34
27,72
28,54
28,71
29,52
29,53
30,87
30,118
31,326
31,327
32,39
32,112
33,49
33,50
34,333
34,334
35,68
35,69
36,142
36,143
37,44
37,45
38,42
38,43
39,156
39,248
40,105
40,106
41,149
41,178
43,177
43,211
44,48
44,86
45,61
45,62
47,55
47,56
48,79
48,85
49,168
49,169
50,60
50,102
51,73
51,115
52,103
52,104
53,88
53,364
54,195
54,134
55,74
55,75
56,57
56,58
58,65
58,66
59,63
59,64
60,107
60,108
62,76
62,77
63,89
63,90
64,81
64,82
66,99
66,278
69,196
69,117
70,186
70,204
71,78
71,113
72,439
72,440
73,254
73,255
74,91
74,92
75,158
75,159
77,100
77,101
78,135
78,133
80,282
80,453
82,114
82,125
83,93
83,94
84,110
84,111
86,358
86,359
87,252
87,253
89,224
89,229
90,244
90,245
92,124
92,300
93,95
93,161
94,96
94,97
96,109
96,318
98,181
98,182
99,190
99,191
100,144
100,301
102,378
102,379
103,233
103,234
104,138
104,139
106,126
106,127
107,242
107,243
108,122
108,123
111,119
111,120
112,155
112,189
113,396
113,397
115,187
115,188
117,121
117,197
118,309
118,310
119,136
119,137
120,145
120,146
121,130
121,131
123,128
123,129
124,466
124,467
125,164
125,165
126,140
126,141
128,207
128,208
129,171
129,172
130,203
130,220
131,157
131,202
132,160
132,192
133,166
133,167
134,272
134,273
135,147
135,148
136,173
136,174
137,175
137,176
139,328
139,329
140,214
140,215
141,150
141,151
142,240
142,241
144,179
144,180
145,170
145,210
146,152
146,153
147,417
147,418
148,230
148,231
149,212
149,213
150,154
150,311
151,200
151,201
153,222
153,223
155,265
155,266
156,205
156,206
157,306
157,365
158,256
158,257
160,227
160,228
161,162
161,163
164,337
164,338
166,198
166,199
167,185
167,232
169,262
169,263
170,225
170,226
171,386
171,387
174,360
174,361
175,468
175,469
178,221
178,249
179,238
179,239
180,404
180,405
182,183
182,184
185,260
185,261
186,193
186,194
188,294
188,295
190,355
190,356
191,218
191,219
192,298
192,299
193,413
193,414
194,276
194,277
196,345
196,346
197,415
197,416
198,235
198,236
202,292
202,293
203,216
203,217
204,474
204,475
205,209
205,271
208,339
208,340
209,351
209,352
210,246
210,247
211,323
211,324
212,498
212,499
213,296
213,297
214,382
214,383
215,269
215,270
219,368
219,369
222,353
222,354
223,250
223,251
225,258
225,259
227,288
227,289
231,280
231,281
236,316
236,317
237,445
237,446
239,431
239,432
242,290
242,291
243,376
243,377
244,427
244,428
245,267
245,268
247,302
247,303
249,341
249,342
250,284
250,285
254,330
254,331
255,264
255,283
258,314
258,315
259,279
259,287
265,307
265,308
267,496
267,497
269,447
269,448
271,484
271,485
272,274
272,275
279,394
279,395
286,304
286,305
289,362
289,363
292,458
292,459
294,433
294,434
295,392
295,393
298,325
298,332
300,370
300,371
302,402
302,403
304,390
304,391
305,312
305,313
306,406
306,407
308,478
308,479
311,349
311,350
314,321
314,322
316,319
316,320
317,335
317,336
322,347
322,348
325,384
325,385
328,437
328,438
330,401
330,410
332,343
332,344
340,366
340,367
341,408
341,409
344,449
344,450
345,372
345,373
346,380
346,381
347,423
347,424
351,374
351,375
352,456
352,457
355,357
355,398
356,462
356,463
362,429
362,430
363,460
363,461
364,472
364,473
365,411
365,412
367,425
367,426
369,421
369,422
372,399
372,400
374,494
374,495
375,454
375,455
378,388
378,389
379,470
379,471
380,451
380,452
385,480
385,481
387,476
387,477
389,419
389,420
391,435
391,436
409,441
409,442
412,488
412,489
414,492
414,493
423,443
423,444
424,464
424,465
433,486
433,487
468,482
468,483
485,490
485,491
