src,dst
0,1
1,2
1,3
2,5
2,6
3,4
3,41
4,14
4,15
5,7
5,8
6,10
6,11
7,9
7,18
8,55
8,51
9,75
9,47
10,64
10,129
11,12
11,13
12,16
12,17
13,35
13,91
14,24
14,25
15,31
15,50
16,22
16,40
17,19
17,23
18,37
18,38
19,20
19,21
20,87
20,92
21,147
21,148
22,28
22,32
23,26
23,27
24,39
24,72
26,29
26,30
27,33
27,34
28,43
28,44
29,36
29,77
30,59
30,76
31,56
31,57
32,95
32,131
34,42
34,124
35,53
35,54
37,73
37,74
38,158
38,159
39,48
39,49
40,45
40,46
42,177
42,178
43,116
43,117
44,167
44,204
46,202
46,203
47,107
47,108
48,52
48,58
49,66
49,67
51,60
51,61
52,86
52,93
53,192
53,193
54,65
54,113
55,78
55,128
56,114
56,115
57,96
57,191
58,81
58,94
59,103
59,150
60,79
60,80
61,62
61,63
63,70
63,71
64,68
64,69
65,118
65,119
67,82
67,83
68,97
68,98
69,89
69,90
71,109
71,110
74,88
74,130
75,213
75,214
76,84
76,85
79,99
79,100
80,180
80,181
83,111
83,112
84,151
84,149
85,125
85,126
88,168
88,227
90,127
90,140
91,101
91,102
92,122
92,123
95,298
95,299
97,262
97,263
98,288
98,289
100,138
100,139
101,104
101,184
102,105
102,106
103,225
103,226
105,120
105,121
108,207
108,208
110,219
110,220
111,161
111,162
114,274
114,275
115,154
115,155
117,141
117,142
118,286
118,287
119,136
119,137
123,132
123,133
124,175
124,176
128,215
128,216
130,134
130,135
132,152
132,153
133,163
133,164
134,160
134,228
135,145
135,146
137,143
137,144
140,187
140,188
141,156
141,157
143,241
143,242
144,196
144,197
145,234
145,257
146,179
146,233
147,280
147,281
148,182
148,183
149,189
149,190
151,165
151,166
152,198
152,199
153,200
153,201
156,251
156,252
157,169
157,170
158,284
158,285
160,278
160,279
161,205
161,206
163,194
163,195
164,171
164,172
166,270
166,271
167,248
167,249
168,239
168,240
169,173
169,174
170,231
170,232
172,260
172,261
176,217
176,218
177,237
177,238
178,292
178,293
182,266
182,267
183,221
183,222
184,185
184,186
189,229
189,230
190,211
190,212
194,245
194,246
195,264
195,265
202,247
202,250
204,258
204,259
205,282
205,283
208,209
208,210
212,272
212,273
213,235
213,236
214,223
214,224
220,255
220,256
229,276
229,277
234,253
234,254
237,243
237,244
245,290
245,291
258,294
258,295
261,296
261,297
263,268
263,269
